school_server_code,Server on Without Activity,Tools only Activity,Modules only Activity,Tools with Modules Activity
4231078-tg178,25,0,1,0
4141008-tg108,14,1,3,0
4231023-tg123,8,1,9,0
4231036-tg136,4,0,8,5
4231057-tg157,15,0,1,0
4221074-tg174,14,0,1,0
4231084-tg184,4,0,9,0
4141045-tg145,4,0,7,0
4231046-tg146,7,0,4,0
4221040-tg140,7,0,2,0
4141090-tg190,7,0,1,0
4221095-tg195,6,0,1,0
4221026-tg126,6,0,1,0
4231050-tg150,5,0,1,0
4221067-tg167,0,2,1,2
4231058-tg158,4,0,1,0
4231047-tg147,4,0,1,0
4231029-tg129,2,0,1,1
4141012-tg112,3,0,1,0
4221018-tg118,0,0,3,0
4231043-tg143,1,0,2,0
4141035-tg135,1,0,1,0
4221034-tg134,1,0,1,0
4221068-tg168,1,0,1,0
4141009-tg109,0,0,2,0
4231027-tg127,1,0,1,0
4231051-tg151,0,0,1,0
