district_code,modules_activ_e,modules_activ_m,modules_activ_s,modules_lesson_e,modules_lesson_m,modules_lesson_s,school_name,school_server_code,stud_used_modules_e,stud_used_modules_m,stud_used_modules_s,total_stud_unique_modul,units_attempted_most_stud_e,units_attempted_most_stud_m,units_attempted_most_stud_s,units_attempted_stud_e,units_attempted_stud_m,units_attempted_stud_s
1001,2,17,31,1,10,43,Dr.S.R.Dewangan Govt.H.S.SchoolDhamtari,1011001-ct1,55,28,118,137,1,2,2,99,63,221
1002,,,,,,,,,,,,,,,,,,
1003,0,0,0,0,0,0,Govt.High School Gokulpur Ward Dhamatri,1011003-ct3,0,56,1,56,,1,1,,75,1
1004,22,0,3,15,0,3,Govt.H.S.School Sambalpur,1011004-ct4,69,6,9,71,2,2,2,117,11,19
1005,9,0,2,6,0,2,Govt.H.School Shankardah,1011005-ct5,45,5,16,53,1,2,2,70,10,30
1006,6,3,27,0,8,29,Govt.High School Rudri,1011006-ct6,20,16,19,22,2,1,6,44,24,102
1007,1,0,2,1,0,2,Govt.H.S.School Khathuli,1011007-ct7,23,7,49,54,2,2,1,46,12,63
1008,0,0,2,0,0,2,Govt.H.S.School Aamdi,1011008-ct8,20,4,7,22,1,2,2,32,9,16
1009,0,3,2,0,42,2,Govt.H.S.School Doma,1011009-ct9,61,96,13,101,1,2,3,81,217,32
1010,0,0,8,0,1,9,Govt.H.S.School Kharenga,1011010-ct10,8,14,21,28,2.5,1,2,18,19,45
1011,20,1,2,16,0,2,Govt.H.S.School Bagtarai,1011011-ct11,39,48,5,55,1,2,3,64,105,14
1012,,,,,,,,,,,,,,,,,,
1013,0,1,2,0,6,2,Govt.H.S.School Gopalpuri,1011013-ct13,5,14,11,18,3,2,2,15,30,24
1014,9,17,28,3,28,27,Govt.H.S.School Maroud,1011014-ct14,37,35,41,52,2,2,2,82,64,80
1015,,,,,,,,,,,,,,,,,,
1016,3,5,2,3,6,2,Govt.H.S.School Sivanikala,1011016-ct16,22,16,13,26,1.5,2,2,42,31,31
1017,0,0,23,0,0,25,Govt.H.S.School Ji.Jamgoan,1011017-ct17,7,5,31,33,3,2,2,17,10,86
1018,5,16,55,3,6,63,Govt.H.S.School Bhatagaon,1011018-ct18,39,73,54,83,2,2,3,90,153,181
1019,0,2,2,0,14,4,Govt.H.S.School Sirri,1011019-ct19,7,68,17,72,3,2,1,17,110,26
1020,4,4,1,2,4,1,Govt.H.S. School Charra,1011020-ct20,21,42,6,54,1,1,1,34,72,14
1021,,,,,,,,,,,,,,,,,,
1022,0,3,6,0,4,7,Govt.H.S.School Atang,1011022-ct22,21,45,33,57,1,2,3,31,100,96
1023,,,,,,,,,,,,,,,,,,
1024,0,2,2,0,0,2,Govt.High School Rampur,1011024-ct24,5,68,5,71,3,2,3,15,141,14
1025,,,,,,,,,,,,,,,,,,
1026,0,0,2,0,2,2,Govt.H.S.School Bhendara,1011026-ct26,6,6,6,10,3,2,2.5,16,11,16
1027,,,,,,,,,,,,,,,,,,
1028,0,0,2,0,0,2,Govt.H.S.School Korra,1011028-ct28,32,9,14,34,1.5,1,1,56,14,28
1029,,,,,,,,,,,,,,,,,,
1030,,,,,,,,,,,,,,,,,,
1031,1,0,2,0,1,2,,-ct31,16,18,21,31,2,1.5,2,35,33,54
1032,0,1,2,0,0,2,,-ct32,22,48,5,53,1,2,3,35,77,14
1033,0,0,4,0,0,3,,-ct33,33,37,18,46,1,1,2,54,58,41
1034,4,5,8,0,11,6,,-ct34,30,23,24,38,2,1,3.5,58,39,84
