district_code,school_server_code,stud_used_tools_anon_m,stud_used_tools_anon_s,stud_used_tools_reg_m,stud_used_tools_reg_s,time_spent_tools_m,time_spent_tools_s,total_stud_unique_tools_anon,total_stud_unique_tools_reg
1002,2031002-mz2,1,0,24,0,29.8555555555556,,1,24
1003,2031003-mz3,3,0,29,0,40.7611111111111,,3,29
1004,2031004-mz4,0,0,2,0,0.066666666666667,,0,2
1005,2031005-mz5,1,0,3,1,0.793611111111111,0.05,1,3
1006,,,,,,,,,
1007,2031007-mz7,0,0,2,0,0.836111111111111,,0,2
1008,2031008-mz8,0,0,17,3,6.69166666666667,0.15,0,17
1009,2031009-mz9,1,0,27,8,49.7244444444444,1.35,1,27
1010,,,,,,,,,
1011,2031011-mz11,2,0,27,0,7.71083333333333,,2,27
1012,,,,,,,,,
1013,2031013-mz13,1,0,21,0,33.3022222222222,,1,21
1014,2031014-mz14,0,0,34,0,10.8908333333333,,0,34
1015,,,,,,,,,
1016,2031016-mz16,0,0,2,0,1.21388888888889,,0,2
1017,2031017-mz17,1,0,2,0,0.083333333333333,,1,2
1018,,,,,,,,,
1019,,,,,,,,,
1020,,,,,,,,,
1021,2031021-mz21,0,0,1,0,0.154166666666667,,0,1
1022,,,,,,,,,
1023,2031023-mz23,0,0,46,0,6.60833333333333,,0,46
1024,,,,,,,,,
1025,,,,,,,,,
1026,,,,,,,,,
1027,2031027-mz27,0,0,10,0,4.82194444444444,,0,10
1028,2031028-mz28,0,0,1,0,0.033333333333333,,0,1
1029,2031029-mz29,0,0,3,3,0,0.116666666666667,0,6
1030,2031030-mz30,0,0,35,0,16.7144444444444,,0,35
