,school_server_code,date_created,timespent
0,2031002-mz2,2018-08-14,0.5
1,2031002-mz2,2018-08-16,0.5
2,2031002-mz2,2018-08-27,0.5
3,2031002-mz2,2018-10-11,0.5
4,2031002-mz2,2018-10-15,0.5
5,2031002-mz2,2018-10-17,0.5
6,2031002-mz2,2018-10-22,0.5
7,2031002-mz2,2018-10-24,0.5
8,2031002-mz2,2018-11-05,0.5
9,2031002-mz2,2018-11-12,0.5
10,2031003-mz3,2018-08-07,0.5
11,2031003-mz3,2018-08-14,0.5
12,2031003-mz3,2018-08-21,1.0
13,2031003-mz3,2018-08-30,0.5
14,2031003-mz3,2018-09-05,0.5
15,2031003-mz3,2018-09-11,3.0
16,2031003-mz3,2018-09-12,4.0
17,2031003-mz3,2018-09-13,4.0
18,2031003-mz3,2018-09-14,2.0
19,2031003-mz3,2018-09-18,0.5
20,2031003-mz3,2018-09-19,2.0
21,2031003-mz3,2018-09-20,4.0
22,2031003-mz3,2018-09-21,2.0
23,2031003-mz3,2018-09-25,3.0
24,2031003-mz3,2018-09-26,4.0
25,2031003-mz3,2018-09-27,3.0
26,2031003-mz3,2018-09-28,3.0
27,2031004-mz4,2018-07-11,0.5
28,2031004-mz4,2018-10-18,0.5
29,2031005-mz5,2018-07-09,2.0
30,2031005-mz5,2018-08-07,0.5
31,2031005-mz5,2018-08-14,0.5
32,2031007-mz7,2018-08-13,0.5
33,2031007-mz7,2018-08-24,1.0
34,2031007-mz7,2018-08-29,0.5
35,2031007-mz7,2018-08-30,1.0
36,2031007-mz7,2018-08-31,1.0
37,2031007-mz7,2018-09-10,2.0
38,2031008-mz8,2018-08-21,0.5
39,2031008-mz8,2018-08-29,0.5
40,2031008-mz8,2018-10-08,0.5
41,2031008-mz8,2018-10-15,0.5
42,2031008-mz8,2018-10-29,0.5
43,2031010-mz10,2018-08-27,0.5
44,2031012-mz12,2018-08-14,0.5
45,2031012-mz12,2018-10-04,0.5
46,2031012-mz12,2018-10-18,0.5
47,2031017-mz17,2018-08-14,0.5
48,2031017-mz17,2018-08-16,2.0
49,2031017-mz17,2018-08-23,0.5
50,2031017-mz17,2018-10-08,2.0
51,2031017-mz17,2018-10-11,0.5
52,2031017-mz17,2018-10-12,0.5
53,2031017-mz17,2018-10-25,0.5
54,2031017-mz17,2018-10-26,0.5
55,2031017-mz17,2018-10-31,0.5
56,2031017-mz17,2018-11-13,0.5
57,2031017-mz17,2018-11-15,0.5
58,2031017-mz17,2018-11-20,0.5
59,2031017-mz17,2018-11-21,0.5
60,2031020-mz20,2018-07-11,1.0
61,2031020-mz20,2018-08-10,0.5
62,2031020-mz20,2018-08-21,0.5
63,2031020-mz20,2018-08-28,0.5
64,2031020-mz20,2018-08-31,1.0
65,2031020-mz20,2018-10-09,3.0
66,2031020-mz20,2018-10-10,0.5
67,2031020-mz20,2018-10-26,1.0
68,2031020-mz20,2018-10-30,0.5
69,2031020-mz20,2018-10-31,1.0
70,2031020-mz20,2018-11-02,0.5
71,2031020-mz20,2018-11-09,1.0
72,2031020-mz20,2018-11-13,0.5
73,2031021-mz21,2018-07-05,0.5
74,2031021-mz21,2018-08-31,1.0
75,2031021-mz21,2018-11-09,1.0
76,2031022-mz22,2018-07-02,0.5
77,2031022-mz22,2018-08-13,0.5
78,2031022-mz22,2018-08-20,0.5
79,2031022-mz22,2018-09-14,1.0
80,2031027-mz27,2018-07-10,0.5
81,2031027-mz27,2018-08-08,0.5
82,2031027-mz27,2018-08-14,1.0
83,2031027-mz27,2018-08-20,0.5
84,2031027-mz27,2018-10-10,1.0
85,2031027-mz27,2018-10-16,0.5
86,2031028-mz28,2018-08-07,0.5
87,2031029-mz29,2018-07-11,1.0
88,2031029-mz29,2018-08-08,1.0
89,2031029-mz29,2018-08-24,1.0
90,2031029-mz29,2018-08-29,1.0
91,2031029-mz29,2018-09-14,0.5
92,2031029-mz29,2018-10-03,0.5
93,2031029-mz29,2018-10-04,0.5
94,2031029-mz29,2018-10-16,0.5
95,2031029-mz29,2018-10-17,3.0
96,2031029-mz29,2018-10-23,1.0
97,2031029-mz29,2018-10-24,0.5
98,2031029-mz29,2018-10-26,0.5
99,2031029-mz29,2018-10-30,1.0
100,2031029-mz29,2018-11-13,0.5
101,2031029-mz29,2018-11-20,0.5
102,2031030-mz30,2018-08-16,0.5
103,2031030-mz30,2018-08-23,1.0
104,2031030-mz30,2018-09-20,1.0
105,2031030-mz30,2018-10-04,0.5
106,2031030-mz30,2018-10-11,1.0
107,2031030-mz30,2018-10-18,0.5
108,2031030-mz30,2018-10-25,0.5
