,module_name,level_1,users,activities_per_user,activities_sd,activities_median,activities_mode,total_activities,num_schools
0,Atomic Structure,0,123,5.048780487804878,4.709344840683109,4.0,3,49,15
1,Basic Astronomy,0,36,8.61111111111111,8.858499640064105,5.5,1,45,10
2,Ecosystem,0,50,7.54,2.159081437338857,8.0,8,52,7
3,English Beginner,0,264,15.121212121212121,15.85391019550549,8.0,5,68,15
4,English Elementary,0,101,20.0,13.86145735483827,20.0,6,188,11
5,Geometric Reasoning Part I,0,291,4.147766323024055,3.580910136721633,4.0,1,22,15
6,Geometric Reasoning Part II,0,12,3.6666666666666665,4.1414387779508655,1.0,1,17,12
7,Health and Disease,0,56,10.232142857142858,10.862765546796789,5.0,2,68,4
8,Linear Equations,0,36,8.944444444444445,5.226003359270937,10.0,9,14,11
9,Proportional Reasoning,0,106,4.509433962264151,3.8128736395054554,4.5,1,23,10
10,Reflecting on Values,0,3,3.6666666666666665,0.5773502691896258,4.0,4,82,1
11,Sound,0,63,9.53968253968254,7.572925877704492,7.0,4,56,12
12,Understanding Motion,0,56,11.285714285714286,7.230526915828436,10.0,18,69,10
