,module_name,level_1,users,activities_per_user,activities_sd,activities_median,activities_mode,num_schools
0,Atomic Structure,0,195,5.384615384615385,8.506563216933124,2.0,1,62
1,Basic Astronomy,0,185,3.708108108108108,4.004235419227614,2.0,1,63
2,Ecosystem,0,229,4.611353711790393,4.3257746899484815,3.0,1,34
3,English Beginner,0,551,7.822141560798548,11.548677206657066,4.0,1,64
4,English Elementary,0,376,6.202127659574468,7.901837473714131,3.0,1,64
5,Geometric Reasoning Part I,0,304,4.756578947368421,8.876859604758408,2.0,1,66
6,Geometric Reasoning Part II,0,102,4.245098039215686,7.40141313040468,2.0,1,63
7,Health and Disease,0,171,2.584795321637427,2.3583649219150034,2.0,1,31
8,Linear Equations,0,120,2.9,2.9545577951202584,2.0,1,63
9,Proportional Reasoning,0,149,3.9731543624161074,5.703183450429636,2.0,1,32
10,Reflecting on Values,0,99,3.5757575757575757,3.3107459825602694,3.0,1,30
11,Sound,0,249,8.17269076305221,11.879701836092973,4.0,1,62
12,Understanding Motion,0,254,6.980314960629921,11.104765486096419,3.0,1,62
