,tool_name,level_1,users,timespent_per_user,num_schools
0,ages puzzle,0,148,9.195945945945946,43
1,astroamer element hunt activity,0,414,10.246376811594203,69
2,astroamer moon track,0,36,22.27777777777778,5
3,astroamer planet trek activity,0,38,18.210526315789473,13
4,coins puzzle,0,101,12.178217821782178,28
5,factorisation,0,255,8.882352941176471,56
6,food sharing tool,0,956,21.036610878661087,86
7,ice,0,45,8.444444444444445,16
8,policesquad,0,877,7.059426073736222,50
9,rationpatterns,0,59,17.050847457627118,10
