,module_name,level_1,users,lessons_per_user,lessons_sd,lessons_median,lessons_mode,total_lessons,num_schools
0,Atomic Structure,0,68,1.838235294117647,1.4923715886922173,1.0,1,9,15
1,Basic Astronomy,0,18,3.611111111111111,2.4043805338660493,3.0,2,7,10
2,Ecosystem,0,47,2.382978723404255,0.922029696054867,3.0,3,11,7
3,English Beginner,0,123,2.959349593495935,2.248490838076457,2.0,1,12,15
4,English Elementary,0,62,2.225806451612903,1.6034732265162448,2.0,1,25,11
5,Geometric Reasoning Part I,0,255,1.611764705882353,0.8797026740964319,1.0,1,7,15
6,Geometric Reasoning Part II,0,11,1.7272727272727273,1.2720777563426766,1.0,1,5,12
7,Health and Disease,0,42,1.4523809523809523,0.7054623445856902,1.0,1,8,4
8,Linear Equations,0,13,1.3076923076923077,0.48038446141526137,1.0,1,2,11
9,Proportional Reasoning,0,86,1.5930232558139534,0.899384194248803,1.0,1,6,10
10,Reflecting on Values,0,1,1.0,,1.0,1,21,1
11,Sound,0,52,2.5961538461538463,1.124759065871188,2.0,2,10,12
12,Understanding Motion,0,52,2.4423076923076925,1.274385073372168,2.0,2,12,10
