,domain,avg_lessons,sd_lessons,total_users,district
0,e,0.4444444444444444,1.9256773907561424,279,warangal
1,m,1.063157894736842,1.599011111838784,190,warangal
2,s,1.6224489795918366,2.402424711406179,294,warangal
0,e,0.12,0.5205962045225313,50,rangareddy
1,m,0.7894736842105263,0.917662935482247,19,rangareddy
2,s,1.2916666666666667,2.24042485839166,48,rangareddy
0,e,0.38405797101449274,1.1992075496912746,414,karimnagar
1,m,1.6755852842809364,2.996380239362675,299,karimnagar
2,s,2.466666666666667,3.7213552435214847,375,karimnagar
