,school_server_code,module_name,lessons_visited,num_users_gr1,ts_module
0,-ct31,[u'Geometric Reasoning Part I'],1,6,1.5
1,-ct32,[u'Geometric Reasoning Part I'],3,47,21.25
2,-ct33,[u'Geometric Reasoning Part I'],3,8,2.5
3,-ct34,[u'Geometric Reasoning Part I'],28,23,9.0
4,1011001-ct1,[u'Geometric Reasoning Part I'],11,23,13.0
5,1011003-ct3,[u'Geometric Reasoning Part I'],2,56,30.25
6,1011004-ct4,[u'Geometric Reasoning Part I'],2,6,1.5
7,1011005-ct5,[u'Geometric Reasoning Part I'],0,5,1.25
8,1011006-ct6,[u'Geometric Reasoning Part I'],19,14,5.75
9,1011007-ct7,[u'Geometric Reasoning Part I'],0,4,1.0
10,1011008-ct8,[u'Geometric Reasoning Part I'],0,4,1.0
11,1011009-ct9,[u'Geometric Reasoning Part I'],119,94,94.25
12,1011010-ct10,[u'Geometric Reasoning Part I'],9,12,3.25
13,1011011-ct11,[u'Geometric Reasoning Part I'],3,48,27.25
14,1011013-ct13,[u'Geometric Reasoning Part I'],17,14,5.25
15,1011014-ct14,[u'Geometric Reasoning Part I'],87,35,17.75
16,1011016-ct16,[u'Geometric Reasoning Part I'],15,15,9.5
17,1011017-ct17,[u'Geometric Reasoning Part I'],0,4,1.0
18,1011018-ct18,[u'Geometric Reasoning Part I'],14,67,29.0
19,1011019-ct19,[u'Geometric Reasoning Part I'],43,68,36.25
20,1011020-ct20,[u'Geometric Reasoning Part I'],16,42,19.25
21,1011022-ct22,[u'Geometric Reasoning Part I'],29,45,24.5
22,1011024-ct24,[u'Geometric Reasoning Part I'],12,68,45.5
23,1011026-ct26,[u'Geometric Reasoning Part I'],4,6,1.5
24,1011028-ct28,[u'Geometric Reasoning Part I'],0,6,1.5
